#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:45:49 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:45:49	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/457/L99/table1&-order=I&-out=Name&-out=B-V&-out=log&lt;R&apos;HK&gt;&-out=&lt;Prot&gt;&-out=n_&lt;Prot&gt;&-out=RAJ2000&-out=DEJ2000&-out=TYC1&-out=TYC2&-out=TYC3&-out=HIP&-out=SpT&-out=r_SpT&-out=MKCat&MKCat=MKCat&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_14579099
#Name: J/ApJ/457/L99
#Title: 25yr CaII-HK observations of F-K nearby stars (Baliunas+, 1996)
#INFO	ivoid=ivo://cds.vizier/j/apj/457/l99	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/457/l99	    IVOID of underlying data collection
#INFO	creator=Baliunas S.	    First author or institution
#INFO	cites=bibcode:1996ApJ...457L..99B	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/457/L99	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.14579099	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_457_L99_table1:
#Name: J/ApJ/457/L99/table1
#Title: *Time-averaged CaII fluxes and rotation periods for Wilson survey stars
#Column	Name	(A10)	HD name (or Sun)	[ucd=meta.id]
#Column	B-V	(F5.2)	[0.4/1.6] B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	log<R'HK>	(F6.3)	[-5.5/-4.1] R'_HK_ chromospheric activity (1)	[ucd=phot.flux;arith.ratio]
#Column	<Prot>	(I2)	[1/71] Measured rotation period unless flagged	[ucd=time.period]
#Column	n_<Prot>	(A1)	[n] Rotation from CaII/Rossby relation (2)	[ucd=meta.note]
#Column	RAJ2000	(F10.6)	? Tycho-2 right ascension (J2000) (3)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	? Tycho-2 declination (J2000) (3)	[ucd=pos.eq.dec;meta.main]
#Column	TYC1	(I4)	? Tycho-2 name, field 1	[ucd=meta.id.part;meta.main]
#Column	TYC2	(I4)	? Tycho-2 name, field 2	[ucd=meta.id.part;meta.main]
#Column	TYC3	(I1)	? Tycho-2 name, field 3	[ucd=meta.id.part;meta.main]
#Column	HIP	(I6)	? HIP number	[ucd=meta.id]
#Column	SpT	(a18)	MK Spectral Type (4)	[ucd=src.spType]
#Column	r_SpT	(A19)	Bibcode for Spectral Type (4)	[ucd=meta.ref;pos.frame]
#Column	MKCat	(a5)	Display data from Skiff, 2009-2014, Cat. B/mk, within 3"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Name;B-V;log<R'HK>;<Prot>;n_<Prot>;RAJ2000;DEJ2000;TYC1;TYC2;TYC3;HIP;SpT;r_SpT;MKCat;Simbad
 ;mag;[-];d; ;deg;deg; ; ; ; ; ; ; ;
----------;-----;------;--;-;----------;----------;----;----;-;------;------------------;-------------------;-----;------
Sun       ; 0.66;-4.901;25; ;          ;          ;    ;    ; ;      ;                  ;                   ;MKCat;Simbad
HD 1835   ; 0.66;-4.433; 8; ;005.715783;-12.209443;5265; 757;1;  1803;G2.5V             ;1989ApJS...71..245K;MKCat;Simbad
HD 2454   ; 0.43;-4.792; 3; ;007.083555;+10.189862; 599;1372;1;  2235;F5VSr             ;2006AJ....132..161G;MKCat;Simbad
HD 3229   ; 0.44;-4.583; 2; ;008.886805;-00.505609;4672;1255;1;  2787;F5V               ;1989AJ.....98.1049G;MKCat;Simbad
HD 3443   ; 0.72;-4.903;30;n;009.336250;-24.767288;6421;1924;1;  2941;G7V               ;2006AJ....132..161G;MKCat;Simbad
HD 3651   ; 0.85;-4.991;44; ;009.840859;+21.250463;1193;2072;1;  3093;K0.5V             ;1989ApJS...71..245K;MKCat;Simbad
HD 3795   ; 0.70;-5.035;32;n;010.136695;-23.804849;6421; 824;1;  3185;K0V Fe-1.5 CH-1.3 ;2006AJ....132..161G;MKCat;Simbad
HD 4628   ; 0.88;-4.852;39; ;012.095739;+05.280662;  17;1398;1;  3765;K2.5V             ;2006AJ....132..161G;MKCat;Simbad
HD 6920   ; 0.60;-4.793;14; ;017.578090;+42.081481;2808;2070;1;  5493;F9IV              ;2001AJ....121.2148G;MKCat;Simbad
HD 9562   ; 0.64;-5.177;29; ;023.428488;-07.025338;4687;2318;1;  7276;G1V               ;2006AJ....132..161G;MKCat;Simbad
HD 10476  ; 0.84;-4.912;35; ;025.624013;+20.268533;1211;1733;1;  7981;K1V               ;1989ApJS...71..245K;MKCat;Simbad
HD 10700  ; 0.72;-4.958;34; ;026.021160;-15.939504;5855;2292;1;  8102;G8V               ;1989ApJS...71..245K;MKCat;Simbad
HD 10780  ; 0.81;-4.681;23; ;026.936813;+63.852492;4040;2023;1;  8362;G9V               ;2003AJ....126.2048G;MKCat;Simbad
HD 12235  ; 0.62;-4.983;14; ;030.038166;+03.097019;  40;1337;1;  9353;G2IV              ;1979PASP...91...83C;MKCat;Simbad
HD 13421  ; 0.56;-5.195;17;n;032.837830;+08.569805; 630;1238;1; 10212;G0IV              ;1979PASP...91...83C;MKCat;Simbad
HD 16160  ; 0.98;-4.958;48; ;039.016234;+06.883569;  52;1686;1; 12114;K3V               ;1989ApJS...71..245K;MKCat;Simbad
HD 16673  ; 0.52;-4.664; 7; ;040.051757;-09.452874;5285;1109;1; 12444;F8V Fe-0.4        ;2006AJ....132..161G;MKCat;Simbad
HD 17925  ; 0.87;-4.311; 7; ;043.133869;-12.769711;5292; 897;1; 13402;K1.5V (k)         ;2006AJ....132..161G;MKCat;Simbad
HD 18256  ; 0.43;-4.722; 3; ;044.108968;+18.023139;1227;1401;1; 13702;F6V               ;2009ApJS..180..117A;MKCat;Simbad
HD 20630  ; 0.68;-4.420; 9; ;049.840403;+03.370193;  59;1947;1; 15457;G5V               ;1989ApJS...71..245K;MKCat;Simbad
HD 22049  ; 0.88;-4.455;12; ;053.232685;-09.458263;5296;1533;1; 16537;K2V               ;1989ApJS...71..245K;MKCat;Simbad
HD 22072  ; 0.89;-5.205;55;n;053.534910;+17.832855;1238;1180;1; 16641;K0.5IV Fe-1       ;1989ApJS...71..245K;MKCat;Simbad
HD 23249  ; 0.92;-5.184;71; ;055.812090;-09.763419;5303;1320;1; 17378;K0+IV             ;1989ApJS...71..245K;MKCat;Simbad
HD 25998  ; 0.46;-4.401; 2; ;062.152574;+38.039764;2877;1545;1; 19335;F8V               ;2003AJ....126.2048G;MKCat;Simbad
