#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T01:44:54 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T01:44:55	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/646/A77/catalog&-order=I&-out=Star&-out=Nobs&-out=Nnights&-out=Tspan&-out=snr-med&-out=DateStart&-out=DateEnd&-out=Vmag&-out=e_Vmag&-out=r_Vmag&-out.all=2&-out=B-V&-out=e_B-V&-out=r_B-V&-out=plx&-out=e_plx&-out=r_plx&-out=d&-out=Nplt&-out=SpType&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out.all=2&-out=[Fe/H]&-out=e_[Fe/H]&-out=r_Teff&-out=Mass&-out=e_Mass&-out=Radius&-out=e_Radius&-out=Age&-out=e_Age&-out=SMWmed&-out=SMWwmean&-out=e_SMW&-out=s_SMW&-out.all=2&-out=logRHKmed&-out=logRHKwmean&-out=e_logRHK&-out=R5med&-out=R5wmean&-out=e_R5&-out=s_R5&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36460077
#Name: J/A+A/646/A77
#Title: Chromospheric activity from AMBRE-HARPS (Gomes da Silva+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/646/a77	    IVOID of underlying data collection
#INFO	creator=Gomes da Silva J.	    First author or institution
#INFO	cites=bibcode:2021A&A...646A..77G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/646/A77	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36460077	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-09-10	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_646_A77_catalog:
#Name: J/A+A/646/A77/catalog
#Title: Catalogue data
#Column	Star	(a23)	Stellar main identification in SIMBAD	[ucd=meta.id;meta.main]
#Column	Nobs	(I5)	Total number of observations	[ucd=meta.number]
#Column	Nnights	(I3)	Total number of nights	[ucd=meta.number]
#Column	Tspan	(I4)	Timespan of observations	[ucd=time.interval]
#Column	snr-med	(I3)	Median signal-to-noise ratio	[ucd=em.wl.central;stat.median]
#Column	DateStart	(A23)	Date of start of observations	[ucd=time.epoch]
#Column	DateEnd	(A23)	Date of end of observations	[ucd=time.epoch]
#Column	Vmag	(F6.3)	? Apparent V-band magnitude (dereddened)	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	? Apparent V-band magnitude uncertainty	[ucd=stat.error;phot.mag]
#Column	r_Vmag	(A19)	Apparent V-band magnitude reference	[ucd=meta.ref;pos.frame]
#Column	B-V	(F6.3)	? B-V colour (dereddened)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? B-V colour uncertainty	[ucd=stat.error;phot.color;em.opt.B]
#Column	r_B-V	(A19)	B-V colour reference	[ucd=meta.ref;phot.color;em.opt.B]
#Column	plx	(F7.3)	? Parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F6.3)	? Parallax uncertainty	[ucd=stat.error;pos.parallax]
#Column	r_plx	(A19)	Parallax reference	[ucd=meta.ref;pos.frame]
#Column	d	(F7.2)	? Geometric distance	[ucd=pos.distance]
#Column	Nplt	(I1)	? Number of planets in system (as of 2019-12-12)	[ucd=meta.number]
#Column	SpType	(A2)	Spectral type	[ucd=src.spType]
#Column	Teff	(I4)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5.1)	? Effective temperature uncertainty	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	? Logarithm of surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	? Logarithm of surface gravity uncertainty	[ucd=stat.error]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	e_[Fe/H]	(F5.2)	? Metallicity uncertainty	[ucd=stat.error;phys.abund.Fe]
#Column	r_Teff	(a19)	Reference for teff, logg, and feh	[ucd=meta.ref;pos.frame]
#Column	Mass	(F6.3)	? Mass	[ucd=phys.mass]
#Column	e_Mass	(F6.3)	? Mass uncertainty	[ucd=stat.error;phys.mass]
#Column	Radius	(F6.3)	? Radius	[ucd=phys.angSize;src]
#Column	e_Radius	(F6.3)	? Radius uncertainty	[ucd=stat.error;phys.size.radius]
#Column	Age	(F6.3)	? Age	[ucd=time.age]
#Column	e_Age	(F6.3)	? Age uncertainty	[ucd=stat.error;time.age]
#Column	SMWmed	(F7.4)	Median S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	SMWwmean	(F7.4)	Weighted mean S-index in Mt. Wilson scale	[ucd=spect.index]
#Column	e_SMW	(F7.4)	Uncertainty of S-index in Mt. Wilson scale	[ucd=stat.error]
#Column	s_SMW	(F7.4)	Weighted standard deviation of S-index in Mt. Wilson scale	[ucd=stat.stdev;phys.atmol.wOscStrength]
#Column	logRHKmed	(F7.4)	? Median log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	logRHKwmean	(F7.4)	? Weighted mean log R'_HK_ index	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	? Uncertanty on log R'_HK_ index	[ucd=stat.error]
#Column	R5med	(F6.3)	? Median R_5_ index (R_5_ = R'_HK_ x 10^5)	[ucd=phot.flux;arith.ratio]
#Column	R5wmean	(F6.3)	? Weighted mean R_5_ index	[ucd=phot.flux;arith.ratio]
#Column	e_R5	(F6.3)	? Uncertainty on R_5_ index	[ucd=stat.error]
#Column	s_R5	(F6.3)	? Weighted standard deviation of R_5_ index	[ucd=spect.index]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Star;Nobs;Nnights;Tspan;snr-med;DateStart;DateEnd;Vmag;e_Vmag;r_Vmag;B-V;e_B-V;r_B-V;plx;e_plx;r_plx;d;Nplt;SpType;Teff;e_Teff;logg;e_logg;[Fe/H];e_[Fe/H];r_Teff;Mass;e_Mass;Radius;e_Radius;Age;e_Age;SMWmed;SMWwmean;e_SMW;s_SMW;logRHKmed;logRHKwmean;e_logRHK;R5med;R5wmean;e_R5;s_R5;Simbad;_RA;_DE
 ; ; ;d; ; ; ;mag;mag; ;mag;mag; ;arcsec;arcsec; ;pc; ; ;K;K;[cm/s2];[cm/s2];[Sun];[Sun]; ;Msun;Msun;Rsun;Rsun;Gyr;Gyr; ; ; ; ; ; ; ; ; ; ; ; ;deg;deg
-----------------------;-----;---;----;---;-----------------------;-----------------------;------;------;-------------------;------;------;-------------------;-------;------;-------------------;-------;-;--;----;-----;-----;-----;-----;-----;-------------------;------;------;------;------;------;------;-------;-------;-------;-------;-------;-------;-------;------;------;------;------;------;---------;---------
11 Aqr                 ;   76; 32;1864;180;2004-10-10T01:09:14.010;2009-11-17T00:31:56.454; 6.195; 0.010;1997A&A...323L..49P; 0.630; 0.008;2007A&A...474..653V; 36.854; 0.057;2018A&A...616A...1G;  27.13;0;F9;6011; 37.0; 4.11; 0.06; 0.38; 0.03;thiswork           ; 1.233; 0.019; 1.271; 0.024; 1.836; 1.150; 0.1600; 0.1596; 0.0006; 0.0034;-4.9995;-5.0019; 0.0037; 1.001; 0.996; 0.009; 0.051;Simbad;315.14100;-04.73026
11 Lib                 ;   30;  1;   1;187;2007-03-04T07:16:48.382;2007-03-04T08:15:29.373; 4.913; 0.010;1997A&A...323L..49P; 0.982; 0.001;2007A&A...474..653V; 16.174; 0.408;2018A&A...616A...1G;  61.83;0;K0;5256;107.0; 3.61; 0.17;-0.03; 0.08;thiswork           ;      ;      ;      ;      ;      ;      ; 0.1214; 0.1214; 0.0005; 0.0000;-5.2295;-5.2295; 0.0023; 0.589; 0.589; 0.003; 0.000;Simbad;222.75447;-02.29915
12 Oph                 ;   28; 11;2530;210;2005-03-18T09:59:51.519;2012-02-21T08:28:28.461; 5.800; 0.010;1997A&A...323L..49P; 0.838; 0.012;2007A&A...474..653V;100.811; 0.079;2018A&A...616A...1G;   9.92;0;K0;5240; 38.0; 4.39; 0.07; 0.00; 0.02;thiswork           ; 0.862; 0.024; 0.800; 0.014; 3.729; 3.440; 0.3785; 0.3691; 0.0008; 0.0221;-4.5616;-4.5748; 0.0011; 2.744; 2.662; 0.007; 0.193;Simbad;249.08937;-02.32459
12 Psc                 ;   69; 22;3313;190;2003-12-16T01:05:36.933;2013-11-05T02:26:55.778; 6.882; 0.010;1997A&A...323L..49P; 0.621; 0.000;2007A&A...474..653V; 27.604; 0.045;2018A&A...616A...1G;  36.23;0;G0;5919; 23.0; 4.03; 0.03; 0.23; 0.02;thiswork           ; 1.169; 0.013; 1.298; 0.028; 4.001; 1.055; 0.1534; 0.1529; 0.0006; 0.0021;-5.0367;-5.0399; 0.0044; 0.919; 0.912; 0.009; 0.031;Simbad;352.37632;-01.03590
14 Cet                 ;   14; 13;4360; 90;2003-11-02T02:14:43.745;2015-10-10T05:23:45.795; 5.930; 0.010;1997A&A...323L..49P; 0.441; 0.006;2007A&A...474..653V; 17.264; 0.061;2018A&A...616A...1G;  57.92;0;F4;6628; 80.0; 3.62; 0.12; 0.15; 0.05;thiswork           ; 1.700; 0.022; 2.478; 0.073; 1.539; 0.090; 0.2298; 0.2300; 0.0013; 0.0036;-4.5067;-4.5064; 0.0037; 3.114; 3.116; 0.026; 0.075;Simbad;008.88681;-00.50561
15 Del                 ;   23; 11;2125;240;2005-08-19T01:28:54.293;2011-06-14T08:19:18.927; 5.953; 0.010;1997A&A...323L..49P; 0.400; 0.000;2007A&A...474..653V; 32.921; 0.053;2018A&A...616A...1G;  30.38;0;F4;6624; 50.0; 4.09; 0.05;-0.13; 0.03;thiswork           ; 1.265; 0.024; 1.310; 0.025; 1.212; 0.627; 0.1646; 0.1646; 0.0005; 0.0007;-4.7102;-4.7103; 0.0026; 1.949; 1.948; 0.012; 0.015;Simbad;312.40736;+12.54513
171 Pup                ; 1693; 23; 841;166;2004-01-19T08:14:37.657;2008-05-21T23:03:49.598; 5.365; 0.010;1997A&A...323L..49P; 0.591; 0.012;2007A&A...474..653V; 65.113; 0.232;2018A&A...616A...1G;  15.36;0;G2;5768; 90.0; 4.09; 0.08;-0.75; 0.06;thiswork           ; 0.831; 0.071; 1.108; 0.031; 4.740;11.662; 0.1700; 0.1700; 0.0005; 0.0009;-4.9026;-4.9022; 0.0029; 1.251; 1.253; 0.008; 0.014;Simbad;116.39550;-34.17258
18 Cet                 ;   81; 31;3682;160;2003-10-27T03:59:59.637;2013-11-25T02:09:48.430; 6.147; 0.010;1997A&A...323L..49P; 0.602; 0.009;2007A&A...474..653V; 30.813; 0.050;2018A&A...616A...1G;  32.45;0;G1;5839; 24.0; 3.92; 0.03;-0.13; 0.02;thiswork           ; 1.071; 0.014; 1.669; 0.026; 7.161; 2.104; 0.1520; 0.1517; 0.0006; 0.0009;-5.0861;-5.0881; 0.0048; 0.820; 0.816; 0.009; 0.014;Simbad;011.36953;-12.88081
18 Del                 ;  111;  5;   4;220;2009-09-07T23:43:18.987;2009-09-12T05:43:58.872; 5.485; 0.010;1997A&A...323L..49P; 0.925; 0.004;2007A&A...474..653V; 13.092; 0.106;2018A&A...616A...1G;  76.38;1;K2;5076; 38.0; 3.21; 0.10; 0.00; 0.03;2013A&A...556A.150S; 2.199; 0.130; 7.831; 0.285; 0.921; 0.162; 0.1589; 0.1590; 0.0005; 0.0018;-5.0650;-5.0646; 0.0019; 0.861; 0.862; 0.004; 0.013;Simbad;314.60806;+10.83928
18 Pup                 ;  207; 73;2740;258;2006-02-08T05:22:23.611;2014-05-19T23:53:27.501; 5.541; 0.010;1997A&A...323L..49P; 0.492; 0.004;2007A&A...474..653V; 44.160; 0.076;2018A&A...616A...1G;  22.64;0;F5;6427; 44.0; 4.12; 0.04; 0.07; 0.03;thiswork           ; 1.279; 0.021; 1.258; 0.014; 0.645; 0.513; 0.1572; 0.1574; 0.0005; 0.0007;-4.8615;-4.8606; 0.0033; 1.376; 1.378; 0.010; 0.013;Simbad;122.66594;-13.79921
18 Sco                 ; 5471;193;5058;179;2004-05-27T06:43:55.399;2018-04-02T09:02:22.457; 5.429; 0.010;1997A&A...323L..49P; 0.630; 0.009;2007A&A...474..653V; 70.768; 0.112;2018A&A...616A...1G;  14.13;0;G2;5806; 15.0; 4.26; 0.03; 0.07; 0.01;thiswork           ; 1.033; 0.012; 1.046; 0.008; 4.222; 0.881; 0.1707; 0.1719; 0.0006; 0.0053;-4.9354;-4.9287; 0.0032; 1.160; 1.178; 0.008; 0.079;Simbad;243.90529;-08.36944
20 Mon                 ;   44; 12;2841;174;2007-03-04T03:05:26.883;2014-12-13T09:07:09.975; 4.895; 0.010;1997A&A...323L..49P; 1.014; 0.000;2007A&A...474..653V; 16.842; 0.169;2018A&A...616A...1G;  59.38;0;K3;4788; 50.0; 3.25; 0.60;-0.14; 0.03;thiswork           ; 1.563; 0.152; 9.521; 0.341; 2.326; 0.729; 0.1160; 0.1162; 0.0008; 0.0009;-5.2638;-5.2633; 0.0034; 0.545; 0.545; 0.004; 0.005;Simbad;107.55701;-04.23711
