#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-23T23:05:56 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-23T23:05:57	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-out.all=2&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/132/161/table2&-order=I&-out=Name&-out=HIP&-out=n_HIP&-out=HD/DM&-out=SpType&-out=n_SpType&-out=Teff&-out=log(g)&-out=VTurb&-out=[M/H]&-out.all=2&-out=Note&-out=Fit&-out=SMW&-out=logR&-out=AC&-out=n_AC&-out=Obs&-out=t5&-out=SimbadName&-out=_RA&-out=_DE&-out.all=2&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51320161
#Name: J/AJ/132/161
#Title: NStars project: The southern sample. I. (Gray+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/132/161	    IVOID of underlying data collection
#INFO	creator=Gray R.O.	    First author or institution
#INFO	cites=bibcode:2006AJ....132..161G	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/132/161	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51320161	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-11-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_132_161_table2:
#Name: J/AJ/132/161/table2
#Title: Spectral types, basic physical parameters and chromospheric indices
#Column	Name	(A10)	Star name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos catalog designation	[ucd=meta.id]
#Column	n_HIP	(A1)	[*] For HIP 117815, 2 HD designations	[ucd=meta.note]
#Column	HD/DM	(a8)	The HD or DM designation	[ucd=meta.id]
#Column	SpType	(a22)	MK Spectral type	[ucd=src.spType]
#Column	n_SpType	(A1)	[*] Note on the spectral type in notes.dat file	[ucd=meta.note]
#Column	Teff	(I5)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	? Log of the surface gravity	[ucd=phys.gravity]
#Column	VTurb	(F4.1)	? Microturbulent velocity	[ucd=phys.veloc]
#Column	[M/H]	(F5.2)	? Overall metal abundance (2)	[ucd=phys.abund.Z]
#Column	Note	(A1)	[*] indicates a note detailed in notes.dat file	[ucd=meta.note]
#Column	Fit	(A1)	[K] Remark on the fitting process (3)	[ucd=meta.note]
#Column	SMW	(F6.3)	? Mt. Wilson system chromospheric activity index	[ucd=phot.flux;arith.ratio]
#Column	logR	(F7.3)	? Ca II K & H line chromospheric flux measure	[ucd=phot.flux;arith.ratio]
#Column	AC	(A2)	Chromospheric activity class (4)	[ucd=src.class]
#Column	n_AC	(A1)	[*] Note on the chromospheric activity in notes.dat file	[ucd=meta.note]
#Column	Obs	(a7)	Spectrum source (5)	[ucd=meta.id;instr.tel]
#Column	t5	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name;HIP;n_HIP;HD/DM;SpType;n_SpType;Teff;log(g);VTurb;[M/H];Note;Fit;SMW;logR;AC;n_AC;Obs;t5;SimbadName;_RA;_DE
 ; ; ; ; ; ;K;[cm/s2];km/s;[-]; ; ; ;[-]; ; ; ; ; ;deg;deg
----------;------;-;--------;----------------------;-;-----;-----;----;-----;-;-;------;-------;--;-;-------;-;-----------------;---------;---------
HIP     57;    57; ;224789  ;K1 V                  ; ; 4999; 4.48; 1.0;-0.17; ; ; 0.377; -4.568;A ; ;CTIO   ; ;HIP     57       ;000.16800;-69.67597
HIP    194;   194; ;225003  ;F1 V                  ; ; 7043; 4.07; 2.0;-0.12; ; ;      ;       ;  ; ;CTIO   ; ;HIP    194       ;000.62376;+08.48546
HIP    296;   296; ;225118  ;G8.5 V                ; ; 5420; 4.43; 1.0; 0.14; ; ; 0.325; -4.570;A ; ;SO     ; ;HIP    296       ;000.92285;-28.39619
HIP    436;   436; ;55      ;K4.5 V                ; ;     ;     ;    ;     ; ; ; 0.338; -4.901;I ; ;CTIO   ; ;HIP    436       ;001.32370;-67.83259
HIP    522;   522; ;142     ;F7 V                  ; ; 6257; 3.99; 2.7;-0.18; ; ; 0.171; -4.853;I ; ;CTIO   ; ;HIP    522       ;001.57990;-49.07519
HIP    560;   560; ;203     ;F3 Vn                 ; ; 6715; 3.85; 1.1;-0.19;*; ;      ;       ;  ; ;SO     ; ;HIP    560       ;001.70869;-23.10754
HIP    616;   616; ;283     ;G9.5 V                ; ;     ;     ;    ;     ; ; ; 0.162; -5.029;I ; ;SO     ; ;HIP    616       ;001.88559;-23.81872
HIP    669;   669; ;361     ;G1 V                  ; ; 5837; 4.47; 1.0;-0.10; ; ; 0.188; -4.834;I ; ;SO     ;S;HIP    669       ;002.06817;-14.82449
HIP    738;   738; ;        ;M0 V                  ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP    738       ;002.26816;-27.12213
HIP    910;   910; ;693     ;F8 V Fe-0.8 CH-0.5    ; ; 6255; 4.18; 1.0;-0.31; ; ; 0.180; -4.788;I ; ;SO     ; ;HIP    910       ;002.81605;-15.46798
HIP    934;   934; ;750     ;K1 V                  ; ; 5079; 4.58; 1.0;-0.24; ; ; 0.338; -4.657;A ; ;CTIO   ; ;HIP    934       ;002.89914;-57.47255
HIP    948;   948; ;        ;K5 V                  ; ;     ;     ;    ;     ; ; ; 0.205; -5.115;VI; ;CTIO   ; ;HIP    948       ;002.92353;-39.22995
HIP    950;   950; ;739     ;F5 V                  ; ; 6548; 4.30; 2.0;-0.05; ; ; 0.192; -4.715;A ; ;SO     ; ;HIP    950       ;002.93342;-35.13312
HIP   1031;  1031; ;870     ;K0 V                  ; ; 5273; 4.47; 1.0;-0.16; ; ; 0.214; -4.824;I ; ;CTIO   ; ;HIP   1031       ;003.20937;-57.91261
HIP   1044;  1044; ;        ;K6 V (k)              ; ;     ;     ;    ;     ; ; ; 0.896; -4.840;I ; ;CTIO   ; ;HIP   1044       ;003.26072;-45.17676
HIP   1083;  1083; ;        ;M0.5 V                ; ;     ;     ;    ;     ; ; ;      ;       ;  ; ;SO     ; ;HIP   1083       ;003.37115;-36.82870
HIP   1085;  1085; ;924     ;K2+ V (k)             ; ; 4946; 4.60; 1.0;-0.12; ; ; 0.580; -4.417;A ; ;CTIO   ; ;HIP   1085       ;003.37884;-40.35827
HIP   1292;  1292; ;1237    ;G8.5 V (k)            ; ; 5336; 4.42; 1.0;-0.04; ; ; 0.354; -4.496;A ; ;CTIO   ; ;HIP   1292       ;004.05283;-79.85118
HIP   1349;  1349; ;1273    ;G5 V Fe-1.2 CH-0.9    ; ; 5693; 4.53; 1.0;-0.49; ; ; 0.201; -4.802;I ; ;CTIO   ; ;HIP   1349       ;004.22458;-52.65112
HIP   1382;  1382; ;1320    ;G2 V                  ; ; 5731; 4.54; 1.0;-0.23; ; ; 0.205; -4.779;I ; ;CTIO   ; ;HIP   1382       ;004.31886;-43.85273
HIP   1444;  1444; ;1388    ;G0 V                  ; ; 5927; 4.36; 1.0;-0.01; ; ; 0.158; -4.985;I ; ;SO     ;S;HIP   1444       ;004.49529;-13.45564
