#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-27T02:07:28 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-27T02:07:28	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=999999&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJS/271/19/table3&-order=I&-out=Gaia&-out=RAJ2000&-out=DEJ2000&-out=SNR-G&-out=Teff&-out=e_Teff&-out=logg&-out=e_logg&-out=FeH&-out=e_FeH&-out=a/Fe&-out=e_a/Fe&-out=GMag&-out=e_GMag&-out=LFlame&-out=e_LFlame&-out=KIC&-out=Prot&-out=e_Prot&-out=Sph&-out=e_Sph&-out=S-index&-out=e_S-index&-out=SNR&-out=logRHK&-out=e_logRHK&-out=Mass&-out=e_Mass&-out=Age&-out=e_Age&-out=DR7&DR7=DR7&-out=Simbad&Simbad=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22710019
#Name: J/ApJS/271/19
#Title: FGK dwarfs from LAMOST DR7 and Gaia DR3 and Kepler (Ye+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/apjs/271/19	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/271/19	    IVOID of underlying data collection
#INFO	creator=Ye L.	    First author or institution
#INFO	cites=bibcode:2024ApJS..271...19Y	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/271/19	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22710019	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_271_19_table3:
#Name: J/ApJS/271/19/table3
#Title: Sample
#Column	Gaia	(I19)	Gaia DR3 identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-9.3/78] Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SNR-G	(F6.2)	[50/748] Spectral S/N per pixel in SDSS g-band	[ucd=stat.snr]
#Column	Teff	(I4)	[5000/6499] Effective temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I2)	[1/38] Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	logg	(F5.2)	[3.6/4.8] Log surface gravity	[ucd=phys.gravity]
#Column	e_logg	(F5.2)	[0/0.08] Uncertainty in logg	[ucd=stat.error]
#Column	FeH	(F5.2)	[-1/0.5] Log iron abundance relative to hydrogen	[ucd=phys.abund.Fe]
#Column	e_FeH	(F5.2)	[0/0.1] Uncertainty in FeH	[ucd=stat.error]
#Column	a/Fe	(F5.2)	[-0.07/0.33] Log Alpha element to iron abundance ratio	[ucd=phys.abund]
#Column	e_a/Fe	(F5.2)	[0/0.03] Uncertainty in a/Fe	[ucd=stat.error;phys.abund]
#Column	GMag	(F5.2)	[1.9/6.4] Absolute magnitude in Gaia G band	[ucd=phys.magAbs;em.opt]
#Column	e_GMag	(F5.2)	[0/0.8] Standard error of Gmag	[ucd=stat.error;phot.mag]
#Column	LFlame	(F7)	[0.25/11.7] Stellar luminosity with FLAME pipeline	[ucd=phys.luminosity]
#Column	e_LFlame	(F7)	[0.001/1.1] Standard error of LFlame	[ucd=stat.error]
#Column	KIC	(I8)	[1026838/12935035]? Kepler Input Catalog identifier	[ucd=meta.id.cross]
#Column	Prot	(F5.2)	[0.49/63]? Rotation Period	[ucd=time.period]
#Column	e_Prot	(F5.2)	[0.02/10.2]? Uncertainty in Prot	[ucd=stat.error]
#Column	Sph	(F7.1)	[0.2/12192]? Amplitude brightness variations	[ucd=src.var.amplitude]
#Column	e_Sph	(F6.1)	[1/1022]? Uncertainty in Sph	[ucd=stat.error]
#Column	S-index	(F6.3)	[0.13/0.4]? Weight average value of S_L_ index	[ucd=spect.index]
#Column	e_S-index	(F6.3)	[0.002/0.03]? Uncertainty in S-index	[ucd=stat.error]
#Column	SNR	(F6.2)	[100/748]? S-index S/N	[ucd=stat.snr]
#Column	logRHK	(F7.4)	[-8.3/-4.1]? Chromospheric activity index, logR_HK_^+^	[ucd=phot.flux;arith.ratio]
#Column	e_logRHK	(F7.4)	[0.0025/0.06]? Uncertainty in logRHK	[ucd=stat.error]
#Column	Mass	(F5.2)	[0.7/1.4] Mass with grid-based modelling	[ucd=phys.mass]
#Column	e_Mass	(F5.2)	[0/0.2] Uncertainty in Mass	[ucd=stat.error;phys.mass]
#Column	Age	(F5.2)	[0.1/13.8] Age with grid-based modelling	[ucd=time.age]
#Column	e_Age	(F5.2)	[0.01/4.4] Uncertainty in Age	[ucd=stat.error;time.age]
#Column	DR7	(A3)	Display data from LAMOST DR7 LRS (V/156) within 2"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Gaia;RAJ2000;DEJ2000;SNR-G;Teff;e_Teff;logg;e_logg;FeH;e_FeH;a/Fe;e_a/Fe;GMag;e_GMag;LFlame;e_LFlame;KIC;Prot;e_Prot;Sph;e_Sph;S-index;e_S-index;SNR;logRHK;e_logRHK;Mass;e_Mass;Age;e_Age;DR7;Simbad
 ;deg;deg; ;K;K;[cm/s2];[cm/s2];[Sun];[Sun];[Sun];[Sun];mag;mag;Lsun;Lsun; ;d;d;ppm;ppm; ; ; ;[-];[-];Msun;Msun;Gyr;Gyr; ;
-------------------;---------;---------;------;----;--;-----;-----;-----;-----;-----;-----;-----;-----;-------;-------;--------;-----;-----;-------;------;------;------;------;-------;-------;-----;-----;-----;-----;---;------
2051744433230856192;291.59769;+36.98222;107.22;5863;14; 4.42; 0.03;-0.20; 0.04; 0.03; 0.02; 4.72; 0.01;  1e+00;  1e-02; 1295597;13.15; 1.65; 1101.3;  42.4; 0.193; 0.005;107.37;-4.7987; 0.0121; 0.96; 0.02; 4.08; 0.91;DR7;Simbad
2051713848758510976;292.18440;+37.08449;176.47;5828; 7; 4.19; 0.02; 0.26; 0.02; 0.02; 0.01; 3.95; 0.01;  2e+00;  2e-02; 1435930;19.78; 1.81;   80.3;   4.0; 0.163; 0.004;177.29;-5.1003; 0.0117; 1.20; 0.01; 4.45; 0.16;DR7;Simbad
2051017003207761152;290.77972;+37.15449;137.68;6119;11; 4.29; 0.02;-0.16; 0.03; 0.02; 0.02; 4.18; 0.03;  2e+00;  2e-02; 1570554; 9.85; 1.27;  217.6;  12.1; 0.187; 0.004;136.81;-4.8372; 0.0103; 1.06; 0.01; 3.37; 0.42;DR7;Simbad
2051029956829203200;290.78137;+37.27696;169.83;6211; 9; 4.35; 0.02;-0.15; 0.02; 0.01; 0.01; 4.06; 0.01;  2e+00;  1e-02; 1718401; 7.11; 0.61;  431.6;  12.1; 0.188; 0.004;170.02;-4.8254; 0.0097; 1.12; 0.01; 2.22; 0.38;DR7;Simbad
2051019683267537024;290.91934;+37.28717;158.42;5986; 9; 4.47; 0.02;-0.17; 0.02; 0.02; 0.01; 4.52; 0.02;  1e+00;  1e-02; 1718958; 9.35; 0.70; 1544.0;  67.9; 0.232; 0.004;157.88;-4.5661; 0.0073; 1.02; 0.02; 3.03; 0.62;DR7;Simbad
2051774807239941504;291.41099;+37.39617;117.88;6197;12; 3.89; 0.03;-0.14; 0.03; 0.02; 0.02; 2.68; 0.02;  6e+00;  1e-01; 1868075;11.35; 0.78;   54.0;   4.7; 0.160; 0.006;117.65;-5.1752; 0.0147; 1.40; 0.01; 2.77; 0.05;DR7;Simbad
2051758829961425664;291.60483;+37.31282;291.32;6052; 4; 4.34; 0.01; 0.00; 0.01; 0.03; 0.01; 4.11; 0.01;  2e+00;  1e-02; 1868918;12.42; 0.97;   60.3;   1.9; 0.170; 0.004;291.79;-5.0130; 0.0090; 1.10; 0.02; 3.94; 0.09;DR7;Simbad
2051782469461848832;291.65536;+37.36246;124.75;6401;13; 3.94; 0.03;-0.25; 0.03; 0.07; 0.02; 2.86; 0.01;  5e+00;  6e-02; 1869151; 5.48; 0.53;  138.4;  11.1; 0.180; 0.006;124.85;-4.9067; 0.0132; 1.26; 0.05; 3.71; 0.39;DR7;Simbad
2051081290279704448;290.37881;+37.48142;107.48;5605;12; 4.43; 0.03;-0.36; 0.04; 0.08; 0.01; 4.91; 0.02;  8e-01;  9e-03; 2010152;18.45; 1.82;  762.3;  25.8; 0.185; 0.006;107.36;-4.8859; 0.0130; 0.84; 0.02;12.40; 1.32;DR7;Simbad
2051824422700490624;292.70813;+37.56998;165.51;6201; 9; 4.02; 0.02;-0.32; 0.03; 0.06; 0.02; 3.28; 0.24;  4e+00;  5e-02; 2166071; 1.03; 0.07;   21.8;  11.6; 0.167; 0.005;165.37;-5.0583; 0.0135; 1.24; 0.03; 3.73; 0.38;DR7;Simbad
2051098882465737856;290.19672;+37.65904;100.49;5797;13; 4.34; 0.03;-0.38; 0.04; 0.07; 0.02; 4.54; 0.10;  1e+00;  2e-02; 2297426;25.58; 3.11;  136.1;   5.7; 0.176; 0.006;100.53;-4.9464; 0.0135; 0.90; 0.02;10.48; 1.02;DR7;Simbad
2051090395610781696;290.55234;+37.69983;153.50;6190; 9; 4.16; 0.02; 0.01; 0.02;-0.01; 0.01; 3.58; 0.02;  3e+00;  4e-02; 2299081; 7.19; 0.53;   76.6;   7.5; 0.168; 0.005;152.71;-5.0381; 0.0118; 1.26; 0.01; 3.14; 0.09;DR7;Simbad
2051666432326307712;293.27289;+37.77040;118.10;5532;11; 4.45; 0.02; 0.04; 0.03; 0.02; 0.01; 5.00; 0.01;  7e-01;  7e-03; 2451643;21.93; 3.82;  153.8;   6.3; 0.172; 0.006;118.14;-5.0099; 0.0138; 0.96; 0.02; 5.04; 0.98;DR7;Simbad
2052029756501353344;293.56284;+37.77657;168.78;5198; 7; 4.43; 0.01; 0.11; 0.02; 0.03; 0.01; 5.49; 0.01;  5e-01;  6e-03; 2452977;20.07; 1.91;  189.2;   6.8; 0.169; 0.005;168.07;-5.0943; 0.0117; 0.88; 0.01; 7.07; 1.15;DR7;Simbad
2052605144675382912;290.56778;+37.84839;111.50;6122;13; 4.35; 0.03;-0.01; 0.03; 0.02; 0.02; 4.06; 0.02;  2e+00;  2e-02; 2571841;11.24; 0.64;   76.7;   6.3; 0.187; 0.006;111.63;-4.8342; 0.0149; 1.14; 0.02; 2.47; 0.43;DR7;Simbad
2052604423120887424;290.58600;+37.84450;195.75;6263; 9; 4.17; 0.02; 0.03; 0.02; 0.02; 0.02; 3.45; 0.01;  3e+00;  3e-02; 2571934; 5.48; 0.38;   52.3;   5.4; 0.165; 0.006;194.55;-5.0923; 0.0147; 1.28; 0.01; 2.69; 0.09;DR7;Simbad
