source,Gaia_id,KIC_id,logRHK,e_logRHK,Prot,Teff,BV,FeH_native,e_FeH_native,Mass,Age,tau_conv,tau_Noyes1984,Ro,log_Ro,F_Ca,F_bas,delta_F,log_dF,epsilon,log_epsilon,dTeff
Ye2024,2051017003207761152,1570554,-4.8372,0.0103,9.85,6119,0.51846,-0.16,0.03,1.06,3.37,13.24184353201083,,0.7438541299924449,-0.1285122213768092,1156467.811643526,685641.6557774318,470826.15586609417,5.672860581258875,0.6866942110339493,-0.16323661377749837,0.347
Ye2024,2051019683267537024,1718958,-4.5661,0.0073,9.35,5986,0.559245,-0.17,0.02,1.02,3.03,14.032847450821215,,0.6662938532445052,-0.1763341932068845,1977236.3527413816,587237.5568517589,1389998.7958896228,6.1430144240391895,2.3670127696558607,0.37420060088477214,0.214
Ye2024,2051029956829203200,1718401,-4.8254,0.0097,7.11,6211,0.490763,-0.15,0.02,1.12,2.22,12.171862643132958,,0.5841340975048938,-0.23348744206365904,1261414.6007620897,761708.4635443493,499706.1372177404,5.698714683329782,0.656033326572911,-0.18307409785135068,0.439
Ye2024,2051081290279704448,2010152,-4.8859,0.013,18.45,5605,0.681301,-0.36,0.04,0.84,12.4,18.60920008626386,,0.991445087079193,-0.0037313349522958353,727803.6082167808,369367.00619126,358436.6020255208,5.554412351565042,0.9704077408579386,-0.013045747798450214,-0.167
Ye2024,2051090395610781696,2299081,-5.0381,0.0118,7.19,6190,0.497049,0.01,0.02,1.26,3.14,10.115976103458719,,0.7107569182119452,-0.1482789043752622,762560.5478957166,743736.4656110334,18824.082284683245,4.274713812579874,0.025310151048218266,-1.5967052630119571,0.418
Ye2024,2051098882465737856,2297426,-4.9464,0.0135,25.58,5797,0.618789,-0.38,0.04,0.9,10.48,16.867395843027396,,1.5165352279661,0.1808525030961309,724477.5599138491,468363.74250485474,256113.81740899436,5.408433009404019,0.5468267377813509,-0.2621502582099194,0.025
Ye2024,2051374962963038464,3109550,-4.9161,0.0098,30.17,5302,0.784446,0.12,0.02,0.9,7.52,16.867395843027396,,1.788657850967054,0.2525272731284843,543588.9629418744,249631.88143516568,293957.08150670875,5.468283926924292,1.177562256137765,0.070983876974917,-0.47
Ye2024,2051666432326307712,2451643,-5.0099,0.0138,21.93,5532,0.705632,0.04,0.03,0.96,5.04,15.354869714245666,,1.4282114018625751,0.15479249586256594,519087.32249663287,336759.07553592906,182328.2469607038,5.260853956361242,0.5414204403267852,-0.266465352271535,-0.24
Ye2024,2051713848758510976,1435930,-5.1003,0.0117,19.78,5828,0.608891,0.26,0.02,1.2,4.45,10.930356368792774,,1.8096390760390775,0.25759196552397523,519266.02607331704,486309.52832668595,32956.497746631096,4.517941053445966,0.06776856266836717,-1.1689717253945988,0.056
Ye2024,2051744433230856192,1295597,-4.7987,0.0121,13.15,5863,0.597778,-0.2,0.04,0.96,4.08,15.354869714245666,,0.8564058337662044,-0.0673203829891803,1065102.2775710437,507277.0960169975,557825.1815540462,5.746498115457319,1.0996459054310526,0.041252861454496685,0.091
Ye2024,2051758829961425664,1868918,-5.013,0.009,12.42,6052,0.538894,0.0,0.01,1.1,3.94,12.514101920504952,,0.9924803297030239,-0.003278091905994802,738256.7288353015,634435.361771938,103821.36706336343,5.0162867431343,0.16364372687770254,-0.7861006382913004,0.28
Ye2024,2051929181244480384,3240623,-4.556,0.0056,12.1,5546,0.700941,-0.17,0.01,0.86,9.98,18.000329833835156,,0.6722099045793968,-0.17249509277030886,1491183.870961989,342813.60565141373,1148370.2653105753,6.060081938806424,3.3498386481144595,0.5250238888514295,-0.226
Ye2024,2051940215021017856,3120146,-4.7911,0.0176,17.0,5866,0.596829,0.07,0.03,1.18,5.16,11.222913527863295,,1.514758173783826,0.18034330467055407,1086125.4025728693,509109.8661951929,577015.5363776764,5.761187506868478,1.133381171121222,0.0543759934245191,0.094
Ye2024,2052029756501353344,2452977,-5.0943,0.0117,20.07,5198,0.821212,0.11,0.02,0.88,7.07,17.42033268532819,,1.152101992684871,0.061490927784693214,333163.0561583663,217092.9598754994,116070.09628286693,5.0647203446985145,0.5346561968174001,-0.2719253952146906,-0.574
Ye2024,2052030512417875072,2585767,-4.6891,0.0139,9.83,5344,0.769801,0.21,0.03,0.96,1.67,15.354869714245666,,0.6401877829598319,-0.1936926179828213,946188.2149769439,263911.5933629044,682276.6216140395,5.8339604903214335,2.5852468734703975,0.4125020215756365,-0.428
