star_name,source,logRHK,e_logRHK,Prot,Teff,BV,tau_conv,tau_Noyes1984
HD 126053,Gomes2021+Baliunas1996,-4.8911,0.0031,22.0,5627,0.636,11.4488,11.173
HD 152391,Gomes2021+Baliunas1996,-4.4428,0.0014,11.0,5465,0.758,13.4509,17.6951
HD 160346,Gomes2021+Baliunas1996,-4.7863,0.0016,37.0,4843,0.963,18.8654,22.6789
HD 16160,Gomes2021+Baliunas1996,-4.8709,0.002,48.0,4796,0.865,15.8287,21.23
HD 26913,Gomes2021+Baliunas1996,-4.3625,0.001,7.0,5656,0.675,11.956,13.4265
HD 26923,Gomes2021+Baliunas1996,-4.4815,0.0024,7.0,6080,0.565,10.5799,7.18405
HD 32147,Gomes2021+Baliunas1996,-4.9606,0.0016,47.0,4680,1.065,21.8902,23.5017
HD 4628,Gomes2021+Baliunas1996,-4.9409,0.0019,39.0,4928,0.905,17.0042,21.9731
HD 76151,Gomes2021+Baliunas1996,-4.7352,0.0022,15.0,5788,0.674,11.9427,13.3697
Sun,Hall2007/Sun,-4.94,,26.09,5780,0.62424,11.3001,10.4891
HD 1835,Hall2007+Wright2011,-4.41,,7.78,5687,0.654345,11.6846,12.2399
HD 10476,Hall2007+Wright2011,-4.98,,35.2,5098,0.857266,15.6109,21.0541
,Hall2007+Supp,-4.94,,34.5,5344,0.769801,13.6813,18.2045
HD 20630,Hall2007+Wright2011,-4.4,,9.4,5560,0.696262,12.3073,14.6125
HD 22049,Hall2007+Wright2011,-4.44,,11.68,4937,0.916824,17.3681,22.1464
HD 30495,Hall2007+Wright2011,-4.49,,7.6,5652,0.665803,11.8344,12.9012
HD 35296,Hall2007+Wright2011,-4.4,,3.56,6060,0.536442,10.2493,5.75687
HD 39587,Hall2007+Wright2011,-4.43,,5.36,5739,0.637452,11.4673,11.2575
HD 42807,Hall2007+Wright2011,-4.5,,7.8,5494,0.718425,12.7062,15.7909
,Hall2007+Supp,-4.95,,44.0,5940,0.573562,10.6811,7.63787
,Hall2007+Supp,-4.94,,18.0,5900,0.586103,10.831,8.32048
HD 78366,Hall2007+Wright2011,-4.64,,9.67,5827,0.609209,11.1128,9.62202
,Hall2007+Supp,-4.95,,40.2,5610,0.679646,12.0179,13.6894
HD 82885,Hall2007+Wright2011,-4.68,,18.6,5497,0.717411,12.6877,15.7386
HD 97334,Hall2007+Wright2011,-4.42,,7.6,5733,0.639393,11.492,11.3706
HD 100180,Hall2007+Wright2011,-4.95,,14.0,5867,0.596512,10.9571,8.9008
HD 101501,Hall2007+Wright2011,-4.62,,16.68,5347,0.76876,13.6608,18.1607
,Hall2007+Supp,-4.99,,12.3,6083,0.529411,10.1696,5.42861
,Hall2007+Supp,-5.21,,30.0,5090,0.86018,15.6926,21.1217
,Hall2007+Supp,-4.99,,17.5,5870,0.595564,10.9456,8.8475
HD 114710,Hall2007+Wright2011,-4.76,,12.35,5905,0.58453,10.8121,8.2338
HD 115383,Hall2007+Wright2011,-4.47,,3.33,6218,0.488672,9.7193,3.73271
HD 115404,Hall2007+Wright2011,-4.57,,18.47,4852,0.949056,18.4002,22.5374
HD 115617,Hall2007+Wright2011,-4.93,,29.0,5532,0.705632,12.4744,15.119
HD 120136,Hall2007+Wright2011,-4.79,,3.2,6458,0.44,9.41441,2.19824
,Hall2007+Supp,-4.91,,25.0,5655,0.664818,11.8214,12.8446
HD 141004,Hall2007+Wright2011,-4.94,,25.8,6131,0.514823,10.006,4.77981
,Hall2007+Supp,-5.03,,24.0,5841,0.604756,11.058,9.36765
HD 149661,Hall2007+Wright2011,-4.68,,21.07,5116,0.850724,15.4291,20.8964
HD 152391,Hall2007+Wright2011,-4.48,,11.43,5266,0.79709,14.2292,19.2698
,Hall2007+Supp,-5.0,,29.0,5820,0.61144,11.1404,9.74997
,Hall2007+Supp,-5.01,,35.0,5715,0.64523,11.5668,11.7104
,Hall2007+Supp,-5.02,,24.0,5700,0.650107,11.6297,11.994
,Hall2007+Supp,-5.0,,22.4,5829,0.608572,11.105,9.58555
,Hall2007+Supp,-4.87,,38.0,5310,0.781647,13.9165,18.6866
,Hall2007+Supp,-5.05,,30.1,5825,0.609846,11.1207,9.65852
,Hall2007+Supp,-5.04,,29.5,5750,0.633898,11.422,11.0506
,Hall2007+Supp,-5.04,,28.5,5630,0.673041,11.93,13.3151
HD 190406,Hall2007+Wright2011,-4.8,,13.94,5825,0.609846,11.1207,9.65852
HD 217014,Hall2007+Wright2011,-5.03,,37.0,5874,0.594299,10.9302,8.7765
