Teff_key,Prot_key,logRHK_key,BV
6119,9.85,-4.8372,0.51846
5986,9.35,-4.5661,0.559245
6211,7.11,-4.8254,0.490763
5605,18.45,-4.8859,0.681301
6190,7.19,-5.0381,0.497049
5797,25.58,-4.9464,0.618789
5302,30.17,-4.9161,0.784446
5532,21.93,-5.0099,0.705632
5828,19.78,-5.1003,0.608891
5863,13.15,-4.7987,0.597778
6052,12.42,-5.013,0.538894
5546,12.1,-4.556,0.700941
5866,17.0,-4.7911,0.596829
5198,20.07,-5.0943,0.821212
5344,9.83,-4.6891,0.769801
5825,24.52,-5.0455,0.609846
6358,4.16,-4.5256,0.447348
6192,6.81,-4.9036,0.496449
5848,16.64,-4.979,0.602533
5209,23.54,-4.9577,0.817289
6185,13.59,-4.8729,0.498548
6122,11.24,-4.8342,0.51755
5643,25.01,-5.014,0.66876
5984,10.96,-4.7942,0.559865
5419,21.81,-4.851,0.743935
5592,37.45,-4.8718,0.68561
6077,5.32,-4.5024,0.531243
6119,10.55,-4.9958,0.51846
5728,21.48,-4.8543,0.641013
6085,10.07,-4.8411,0.528801
6051,15.89,-4.9853,0.5392
5970,11.92,-4.7692,0.564212
6243,18.22,-4.6468,0.481225
5933,15.69,-4.759,0.575751
6100,2.74,-4.5196,0.524231
5798,19.94,-5.044,0.618469
5720,14.59,-4.7733,0.643607
6335,4.22,-4.6019,0.454074
5652,46.06,-4.7998,0.665803
5730,18.96,-4.7062,0.640365
6346,1.4,-4.4246,0.450854
6322,4.63,-4.7138,0.457887
6444,3.18,-4.7733,0.44
6313,5.06,-4.8209,0.460531
5806,23.76,-5.0313,0.61591
5861,15.65,-5.0268,0.598411
5670,15.19,-4.8222,0.659901
5527,13.6,-4.6929,0.70731
6218,8.36,-4.8762,0.488672
5677,19.39,-4.9638,0.657612
6040,9.03,-4.689,0.542577
6416,3.79,-4.5949,0.44
6460,6.49,-4.6355,0.44
5692,24.86,-4.8019,0.652714
5959,9.88,-4.5399,0.567635
5466,26.84,-4.792,0.727908
6458,2.74,-4.7543,0.44
6228,6.64,-4.7735,0.48569
6366,6.32,-4.735,0.445014
6068,10.2,-4.9415,0.533993
5871,9.09,-4.6315,0.595248
6036,11.51,-4.8686,0.543807
5298,13.33,-4.5728,0.785846
6077,9.61,-4.7809,0.531243
5859,10.89,-4.7388,0.599045
6294,7.17,-4.9959,0.466125
5661,12.25,-4.6814,0.66285
6221,7.1,-4.9398,0.487777
6358,5.01,-4.8559,0.447348
5591,13.98,-4.5791,0.685942
5736,26.09,-4.9074,0.638422
5904,13.24,-4.7195,0.584845
5143,29.18,-5.0633,0.840955
5572,16.64,-4.4374,0.69226
5482,32.33,-5.134,0.722483
6162,5.12,-4.6559,0.505463
5683,8.04,-4.6144,0.655651
5860,21.94,-4.7053,0.598728
5766,8.78,-4.6187,0.628741
6198,8.92,-4.7292,0.494651
5499,6.94,-4.5909,0.716736
5550,19.36,-4.7986,0.699603
5413,28.38,-4.8265,0.745991
5608,12.61,-4.6395,0.680308
5795,10.98,-4.5368,0.61943
5921,17.27,-4.939,0.579508
6015,14.63,-4.8682,0.550275
6226,18.58,-4.8802,0.486286
6209,6.71,-4.7378,0.49136
5938,16.51,-4.7826,0.574187
5418,6.67,-4.538,0.744278
5683,14.49,-4.9422,0.655651
6456,2.84,-4.7408,0.44
6304,8.88,-4.7751,0.463179
5819,14.88,-4.8239,0.611759
6372,3.97,-4.7991,0.443266
6214,4.24,-4.5766,0.489866
6210,4.46,-4.6095,0.491062
5418,22.27,-4.9178,0.744278
6409,4.0,-4.848,0.44
6014,8.55,-4.7313,0.550584
6466,18.34,-4.7299,0.44
5880,11.04,-4.6548,0.592405
5700,29.17,-4.9001,0.650107
6323,5.14,-4.8794,0.457593
6363,3.96,-4.5758,0.445889
5847,21.92,-4.9219,0.60285
5967,11.74,-4.9433,0.565145
5854,26.46,-4.8596,0.600629
5873,21.56,-4.792,0.594615
5543,6.76,-4.5637,0.701945
6477,2.18,-4.7207,0.44
6299,4.81,-4.7182,0.464651
5993,6.26,-4.6323,0.557076
6367,5.18,-4.7931,0.444723
6223,7.91,-5.0322,0.48718
6089,10.65,-4.6843,0.527581
5075,12.53,-4.5817,0.865658
6411,6.09,-4.7754,0.44
6275,4.27,-4.6477,0.471736
6499,2.74,-4.4882,0.44
6252,11.6,-4.9504,0.478551
5463,20.89,-4.8002,0.728926
