angDist,_RAJ2000,_DEJ2000,Gaia,RAJ2000,DEJ2000,SNR-G,Teff,e_Teff,logg,e_logg,FeH,e_FeH,a/Fe,e_a/Fe,GMag,e_GMag,LFlame,e_LFlame,KIC,Prot,e_Prot,Sph,e_Sph,S-index,e_S-index,SNR,logRHK,e_logRHK,Mass,e_Mass,Age,e_Age,DR7,Simbad,_RAJ2000,_DEJ2000,KOI,Svalue,logRHK,S/N,Prot,logAge,Qual,f_Qual,Protph,q_Protph,Simbad,_RA,_DE
0.082726,290.91934,37.28717,2051019683267537024,290.91934,37.28717,158.42,5986,9,4.47,0.02,-0.17,0.02,0.02,0.01,4.52,0.02,1.0,0.01,1718958,9.35,0.7,1544.0,67.9,0.232,0.004,157.88,-4.5661,0.0073,1.02,0.02,3.03,0.62,DR7,Simbad,290.9193178,37.2871553,K04053,0.214,-4.72,10.2,12.827,9.3057,0.0,bad_seeing,9.27,3,Simbad,290.91932,37.28716
0.116155,289.67175,38.29787,2051374962963038464,289.67175,38.29787,205.59,5302,6,4.52,0.01,0.12,0.02,0.01,0.01,5.32,0.02,0.6,0.006,3109550,30.17,4.88,1488.6,18.0,0.187,0.004,205.68,-4.9161,0.0098,0.9,0.01,7.52,0.43,DR7,Simbad,289.6717136,38.297855,K03225,0.192,-4.898,7.2,35.964,9.5863,0.0,bad_seeing,29.12,3,Simbad,289.67171,38.29785
0.099040,291.65018,38.40937,2052681388934740352,291.65018,38.40937,168.96,5419,7,4.45,0.01,0.18,0.02,-0.01,0.01,5.15,0.01,0.6,0.006,3342952,21.81,2.31,1348.7,38.4,0.193,0.004,169.13,-4.851,0.0096,0.96,0.01,4.39,0.64,DR7,Simbad,291.6501911,38.4093961,K03215,0.218,-4.773,3.1,24.59,9.3869,0.0,bad_seeing,,0,Simbad,291.65019,38.4094
0.284644,289.7916,39.28533,2100959501399885696,289.7916,39.28533,186.4,5407,7,4.42,0.01,0.14,0.02,0.02,0.01,5.18,0.01,0.6,0.008,4150804,28.58,3.73,965.6,26.8,0.188,0.004,186.0,-4.8875,0.0082,0.96,0.01,4.17,0.61,DR7,Simbad,289.7916425,39.2852581,K03678,0.202,-4.851,17.2,31.885,9.5162,1.0,ok,,1,Simbad,289.79164,39.28526
0.077277,291.14807,40.6694,2101507367429089664,291.14807,40.6694,112.44,5311,10,4.36,0.02,0.27,0.03,0.01,0.01,5.23,0.01,0.6,0.007,5446285,31.52,3.94,505.4,13.6,0.185,0.008,112.44,-4.9326,0.0177,0.96,0.01,5.28,1.0,DR7,Simbad,291.1480961,40.6693917,K00142,0.18,-4.935,13.4,36.455,9.6457,1.0,ok,,0,Simbad,291.1481,40.66939
0.108485,288.53082,40.9423,2102110174677569664,288.53082,40.9423,239.56,5723,5,4.47,0.01,0.21,0.01,0.0,0.01,4.63,0.01,1.0,0.01,5695396,17.73,2.34,523.4,18.8,0.174,0.003,238.37,-4.9664,0.0083,1.08,0.02,2.54,0.11,DR7,Simbad,288.5308556,40.9423136,K00283,0.199,-4.808,38.6,20.764,9.4427,1.0,ok,17.88,3,Simbad,288.53086,40.94231
0.039039,283.80952,41.04124,2103688489257523584,283.80952,41.04124,119.25,5786,11,4.34,0.02,0.1,0.03,0.04,0.01,4.5,0.02,1.0,0.02,5770074,18.44,2.31,273.3,13.2,0.189,0.006,119.38,-4.8332,0.0146,1.04,0.02,5.3,0.69,DR7,Simbad,283.8095342,41.0412383,K01928,0.166,-4.956,10.4,23.371,9.679,1.0,ok,18.55,2,Simbad,283.80953,41.04124
0.026384,284.25721,45.11867,2106807288349899392,284.25721,45.11867,102.61,6208,15,4.02,0.04,-0.32,0.04,0.08,0.02,3.38,0.11,4.0,0.1,,,,,,0.162,0.006,102.38,-5.1362,0.015,1.24,0.04,3.71,0.44,DR7,Simbad,284.2572167,45.1186644,K03541,0.111,-5.56,11.4,0.0,10.3875,1.0,ok,,1,Simbad,284.25722,45.11866
0.123760,285.33063,42.04043,2104172854190854528,285.33063,42.04043,152.93,5753,8,4.48,0.02,0.1,0.02,-0.01,0.01,4.7,0.01,1.0,0.008,6587796,10.83,0.77,4680.7,201.1,0.229,0.004,153.57,-4.601,0.0083,1.06,0.01,1.72,0.57,DR7,Simbad,285.3306253,42.0404642,K03237,0.299,-4.507,8.2,8.344,8.9571,0.0,bad_seeing,10.97,3,Simbad,285.33063,42.04046
0.158817,296.04742,42.743,2077243138673356928,296.04742,42.743,202.4,6249,7,4.16,0.02,0.11,0.02,-0.02,0.01,3.52,0.01,3.0,0.03,7215603,7.16,0.59,44.1,4.3,0.154,0.005,202.91,-5.3236,0.0133,1.32,0.01,2.12,0.11,DR7,Simbad,296.0473614,42.7429903,K01618,0.119,-5.392,10.5,16.374,10.2477,0.0,bad_seeing,,1,Simbad,296.04736,42.74299
0.079924,283.37482,43.78822,2105135854577044480,283.37482,43.78822,252.91,5907,5,4.39,0.01,0.05,0.01,0.02,0.01,4.43,0.01,1.0,0.008,7941200,17.37,2.68,244.9,9.1,0.181,0.003,249.94,-4.891,0.0075,1.08,0.02,2.66,0.08,DR7,Simbad,283.3748197,43.7882422,K00092,0.154,-5.027,10.4,22.965,9.7883,1.0,ok,16.38,3,Simbad,283.37482,43.78824
0.124997,284.48245,44.39804,2106705269988803072,284.48245,44.39804,131.76,5540,10,3.97,0.02,0.16,0.02,0.01,0.01,4.01,0.06,2.0,0.02,8349582,17.11,2.02,154.5,6.8,0.177,0.005,132.22,-4.9591,0.013,1.14,0.01,6.86,0.04,DR7,Simbad,284.4824517,44.3980053,K00122,0.146,-5.101,35.4,37.689,9.8984,1.0,ok,15.73,2,Simbad,284.48245,44.39801
0.001080,289.76051,45.4556,2127096572119535232,289.76051,45.4556,167.5,5993,8,4.29,0.02,0.05,0.02,0.0,0.01,4.07,0.01,2.0,0.02,9083564,15.02,2.12,52.7,5.2,0.168,0.004,167.18,-5.0356,0.011,1.12,0.01,4.03,0.2,DR7,Simbad,289.76051,45.4555997,K03249,0.142,-5.114,9.3,21.375,9.9168,0.0,bad_seeing,,0,Simbad,289.76051,45.4556
0.080589,290.87137,45.4103,2127402790405934464,290.87137,45.4103,140.24,6051,9,4.19,0.02,0.09,0.02,-0.02,0.01,3.73,0.04,2.0,0.03,9086251,10.24,0.95,59.3,5.3,0.172,0.005,140.37,-4.9883,0.012,1.22,0.01,3.8,0.18,DR7,Simbad,290.8714014,45.4102961,K02367,0.116,-5.449,11.0,26.338,10.2995,1.0,ok,,1,Simbad,290.8714,45.4103
0.017381,285.18996,46.02797,2107266570672734592,285.18996,46.02797,271.92,6069,5,4.29,0.01,0.18,0.01,0.02,0.01,3.73,0.02,2.0,0.02,9451706,9.76,1.04,137.4,7.4,0.168,0.003,269.97,-5.0402,0.0081,1.24,0.02,3.15,0.06,DR7,Simbad,285.1899531,46.0279706,K00271,0.146,-5.068,29.8,15.579,9.8508,1.0,ok,10.2,2,Simbad,285.18995,46.02797
0.178147,284.39429,46.24908,2107243072911617024,284.39429,46.24908,149.39,5527,9,4.38,0.02,-0.09,0.02,0.01,0.01,5.05,0.06,0.7,0.01,9573539,15.4,1.84,2855.7,95.9,0.223,0.005,150.03,-4.6628,0.0104,0.9,0.01,7.71,0.37,DR7,Simbad,284.3943292,46.2491214,K00180,0.265,-4.632,17.5,17.015,9.1732,1.0,ok,15.78,3,Simbad,284.39433,46.24912
0.049898,288.56152,46.53605,2130389785541178752,288.56152,46.53605,110.46,5297,11,4.57,0.02,0.04,0.03,-0.02,0.01,5.56,0.01,0.4,0.006,9763612,11.21,0.89,3227.4,126.8,0.222,0.007,110.54,-4.7151,0.0128,0.88,0.01,1.83,0.58,DR7,Simbad,288.5615383,46.5360558,K03465,0.329,-4.597,8.3,20.628,9.119,1.0,ok,11.13,3,Simbad,288.56154,46.53606
0.058880,293.6792,46.85276,2128215909315876352,293.6792,46.85276,600.37,5364,2,4.43,0.0,0.08,0.01,0.02,0.0,5.18,0.01,0.6,0.006,9955598,34.81,5.69,138.4,3.4,0.184,0.003,471.63,-4.927,0.0061,0.9,0.01,9.93,0.91,DR7,Simbad,293.6791761,46.8527606,K01925,0.178,-4.949,42.5,38.569,9.6671,1.0,ok,27.96,2,Simbad,293.67918,46.85276
0.113688,283.8515,47.24367,2107586872155346304,283.8515,47.24367,139.8,5898,10,4.34,0.02,-0.11,0.02,0.01,0.01,4.48,0.01,1.0,0.01,10191036,13.32,1.93,664.1,25.3,0.187,0.005,139.99,-4.8367,0.0121,1.02,0.01,4.81,0.53,DR7,Simbad,283.8514686,47.2436933,K03218,0.16,-4.977,10.1,19.942,9.7111,1.0,ok,,0,Simbad,283.85147,47.24369
0.031745,290.95792,47.40628,2129162283888866688,290.95792,47.40628,164.82,6208,9,4.35,0.02,-0.02,0.02,0.05,0.01,3.96,0.02,2.0,0.02,10337258,6.87,0.68,505.4,29.8,0.212,0.004,164.71,-4.6526,0.0083,1.16,0.01,2.44,0.33,DR7,Simbad,290.9579156,47.4062717,K00333,0.157,-4.971,10.8,11.02,9.7021,1.0,ok,7.26,3,Simbad,290.95792,47.40627
0.119782,297.78659,47.88612,2086505630781210752,297.78659,47.88612,203.71,6153,7,4.16,0.01,0.09,0.02,-0.02,0.01,3.57,0.01,3.0,0.03,10617017,7.39,0.59,70.2,6.3,0.174,0.004,204.24,-4.9642,0.0099,1.26,0.01,3.0,0.09,DR7,Simbad,297.7865406,47.8861231,K02149,0.12,-5.367,10.0,16.858,10.2232,0.0,bad_seeing,7.49,2,Simbad,297.78654,47.88612
